"id","name","abn","acn","address","suburb","state","postcode","email"
"805038","Abbcon Associates Pty Ltd","94459359293","005938367","Suite 7, First Floor  535 Whitehorse Road","MITCHAM","VIC","3132","erik@abbcon.com.au"
"805055","Alexander & Symonds Pty Ltd","","007753988","32a Percy Street","Portland","VIC","3305",""
"805052","Alex Bursztyn & Partners Pty Ltd","79952549917","005514036","Level 1/ 82 St Klda Road","St Kilda","VIC","3182","aburs@tpg.com.au"
"3","Datbasics Pty Ltd","","072672569","13 Dinmar Court","Dingley","VIC","3172",""
"4","Ipandco Australia Pty Ltd","","077168220","Unit 201, 2nd Floor, Cornwallis Street","Eveleigh","NSW","2016",""
"31","Rohanco Pty Ltd","","005688979","","","","",""
"33","Hotondo Homes Pty Ltd","","074547667","1072 Centre Road","South Oakleigh","VIC","3167",""
"79543","Nich","","073187925","395 Collins Street","Melbourne","VIC","3000",""
"800165","A S Villani Building Contractors Pty Ltd","42751618060","007023930","7615 Goulburn Valley Hwy","Kialla","VIC","3631",""
"800074","A A Turner Pty Ltd","79843096332","006258475","Factory 4, 6-8 Macquarie Drive","Thomastown","VIC","3074","aaturner@bigpond.com"
"800183","A W Nicholson Proprietary Limited","","004480166","358 Dowling Street","Wendouree","VIC","3355",""
"800338","Varon Nominees Pty Ltd","","005144383","12 Norfolk Road","Surrey Hills","VIC","3127",""
"800515","B N England Pty Ltd","64554776796","005164250","7-11 Richmond Street","Portland","VIC","3305",""
"800402","Ayjay Construction Pty Ltd","17100966336","100966336","140 Palmer Road","Sunbury","VIC","3429","russell@ayjay.net.au"
"800495","B J & P A Maginnity Pty Ltd","46001264722","001264722","30 Hudson Crescent","Lavington","NSW","2641","paul@magibuild.com.au"
"800536","Baird Building Service Pty Ltd","61231787846","006770038","293 Barnard Street","Bendigo","VIC","3550",""
"800554","Banaras Construction Pty Ltd","","004544727","1/333 Drummond Street","Carlton","VIC","3053",""
"800565","Barry-Brown Harrison Pty Ltd","","004762476","44 Highbury Road","Burwood","VIC","3125",""
"800677","Blunts Homes Victoria Pty Ltd","","065798450","Lot 1 Kialla Lakes Drive","Kialla","VIC","3631",""
"800586","W E Bassett & Partners Pty Ltd","22004873634","004873634","Level 9,  8 Exhibition Street","Melbourne","VIC","3000","s.farthing@bassett.com.au"
"800720","Brennan & Foster Pty Ltd","40939810120","005669189","99 Wilson Street","Horsham","VIC","3400",""
"800828","C D Mason Constructions Pty Ltd","","005019036","7 Gloucester Avenue","Berwick","VIC","3806",""
"800880","C Warburton Pty Ltd","","000476497","Railway Street","Griffith","NSW","2680",""
"902650","Warren And Mahoney Architects Australia Pty Limited","15607221198","607221198","115/838 Collins Street","Docklands","VIC","3008","nick.deans@warrenandmahoney.com"
"800843","C J & B T McLoughlan Pty Ltd","25007168372","007168372","32 Cohuna-Leitchville Rd","Cohuna","VIC","3568","hotmc@bigpond.com"
"800894","Cappellin & Co Pty Ltd","74005155715","005155715","15 Kirkdale Street","East Brunswick","VIC","3057",""
"801007","Colin Belmore Builders Pty Ltd","","060133093","69 Panorama Avenue","Lower Plenty","VIC","3093",""
"801114","D & I M Scott Pty Ltd","59005777382","005777382","25 Gouorlay Street","Shepparton","VIC","3630",""
"801038","Contract Control Constructions Pty Ltd","36860050567","006248611","71-89 Hobsons Road","Kensington","VIC","3031","simonlewin@contractcontrol.com.au"
"805011","Baigents Pty Ltd","","006982538","65 Kooyong Road","CAULFIELD NORTH","VIC","3161","ahbmel@baigent.com.au"
"805013","Davis Naismith Pty Ltd","","067531097","43 Wantirna Road","Ringwood","VIC","3134","tony@dnmconsulting.com"
"805015","A R Houghton & Associates Pty Ltd","","005311384","1157 Heatherton Road","Noble Park","VIC","3174",""
"805020","A S Fedorowicz","52085820806","","47 Princess Street","KEW","VIC","3101","fedora@ozemail.com.au"
"805017","Sashbury Pty Ltd","99745137360","050273115","106 Lower Plenty Road","Rosanna","VIC","3084","mail@arstellapartners.com"
"805033","Alison Nunn","14722012380","","Level 2,  46 Little Latrobe Street","Melbourne","VIC","3000","alison@an-architect.com.au"
"805021","A S James Pty Ltd","40004584534","004684534","15 Libbett Avenue","Clayton South","VIC","3169","timh@asjames.com.au"
"805022","A S Munn Consultants Vic Pty Ltd","23006737006","006737006","608 St. Kilda Road","Melbourne","VIC","3004","munncon@bigpond.net.au"
"805034","Audun Pedersen","51123409747","","55 Anzac Road","Trafalgar","VIC","3824","audun@sympac.com.au"
"805043","Adrian Newman & Associates Pty Ltd","","","Suite 9,118 Church Street","Hawthorn","VIC","3122",""
"805046","Aervolution","","","110 Gardenvale Road","Gardenvale","VIC","3185","aervol @ ozramp.net.au"
"800110","A H Baxter & Son Pty Ltd","","","78 Julia Street","Portland","VIC","3305",""
"800116","A J & J M Roach","","","Lot 1 Jarrahmond Road","Orbost","VIC","3888",""
"800496","B J Bennett & W N Linaker","","","","","","",""
"800514","B N & B J England","","","7 Richmond Street","Portland","VIC","3305",""
"800726","Brian Evans & Sons","","","63 Jobs Gully Road","Eaglehawk","VIC","3556",""
"804786","Wycombe Industries Pty Ltd","","","78 Fyans Street","Geelong South","VIC","3220",""
"804808","Z Mayer","","","5 Hampshire Road","Doncaster","VIC","3108",""
"805007","A E Monger & Associates","","","48 Boger Street","Benalla","VIC","3672",""
"805014","ANW Engineering Services Pty Ltd","","","5 Sanday Street","Glen Waverley","VIC","3150",""
"805025","A T Cocks & Partners Pty Ltd","","","Milton House, 25 Flinders Lane","Melbourne","VIC","3000",""
"805027","A Andrews","","","257 Moorabool Street","Geelong","VIC","3220",""
