3,"Ambulance Victoria","AMB"
5154,"CenITex","CTX"
9,"Department of Treasury and Finance","DTF"
21,"Emergency Services Telecommunications Authority","ETA"
43087,"Department of Economic Development,Jobs,Transport and Resources","DEDJTR"
42999,"Department of Education and Training","DET"
43,"Department of Environment and Primary Industries","DEPI"
42924,"Department of Environment,Land,Water and Planning","DELWP"
42963,"Department of Health & Human Services","DHHS"
43494,"Department of Health & Human Services - Property & Asset Services","DHHS-PAS"
43010,"Department of Health and Human Services - Infrastructure Planning and Delivery","DHHS-IPD"
43004,"Department of Justice & Regulation","DJR"
10,"Department of Premier and Cabinet","DPC"
42425,"Independent Broad-based Anti-corruption Commission","ACC"
52488,"Infrastructure Victoria","IV"
20135,"Major Projects Victoria","MPV"
3161,"Metropolitan Fire and Emergency Services Board","MFB"
15,"State Revenue Office","SRO"
39,"Victoria Police","VicPol"
5979,"Victorian Auditor General's Office","VicAG"
33602,"Victorian Commission for Gambling and Liquor Regulation","LAB"
18641,"Whole of Victorian Government","WoVG"
18669,"WoVG Land Sales","WoVG-LS"
