codename,name,shortname,type,region_code
Alpine,Alpine Shire Council,Alpine,S,Hume
Ararat,Ararat Rural City Council,Ararat,RC,Grampians
Ballarat,Ballarat City Council,Ballarat,C,Grampians
Banyule,Banyule City Council,Banyule,C,MetroNW
BassCoast,Bass Coast Shire Council,Bass Coast,S,Gippsland
BawBaw,Baw Baw Shire Council,Baw Baw,S,Gippsland
Bayside,Bayside City Council,Bayside,C,MetroSth
Benalla,Benalla Rural City Council,Benalla,RC,Hume
Bendigo,Greater Bendigo City Council,Greater Bendigo,C,LoddonMallee
Boroondara,Boroondara City Council,Boroondara,C,MetroEast
Brimbank,Brimbank City Council,Brimbank,C,MetroNW
Buloke,Buloke Shire Council,Buloke,S,LoddonMallee
Campaspe,Campaspe Shire Council,Campaspe,S,LoddonMallee
Cardinia,Cardinia Shire Council,Cardinia,S,MetroSth
Casey,Casey City Council,Casey,C,MetroSth
CentralGoldfields,Central Goldfields Shire Council,Central Goldfields,S,LoddonMallee
ColacOtway,Colac Otway Shire Council,Colac Otway,S,Barwon
Corangamite,Corangamite Shire Council,Corangamite,S,Barwon
Dandenong,Greater Dandenong City Council,Greater Dandenong,C,MetroSth
Darebin,Darebin City Council,Darebin,C,MetroNW
EastGippsland,East Gippsland Shire Council,East Gippsland,S,Gippsland
Frankston,Frankston City Council,Frankston,C,MetroSth
Gannawarra,Gannawarra Shire Council,Gannawarra,S,LoddonMallee
Geelong,Greater Geelong City Council,Greater Geelong,C,Barwon
GlenEira,Glen Eira City Council,Glen Eira,C,MetroSth
Glenelg,Glenelg Shire Council,Glenelg,S,Barwon
GoldenPlains,Golden Plains Shire Council,Golden Plains,S,Grampians
Hepburn,Hepburn Shire Council,Hepburn,S,Grampians
Hindmarsh,Hindmarsh Shire Council,Hindmarsh,S,Grampians
HobsonsBay,Hobsons Bay City Council,Hobsons Bay,C,MetroNW
Horsham,Horsham Rural City Council,Horsham,RC,Grampians
Hume,Hume City Council,Hume,C,MetroNW
Indigo,Indigo Shire Council,Indigo,S,Hume
Kingston,Kingston City Council,Kingston,C,MetroSth
Knox,Knox City Council,Knox,C,MetroEast
Latrobe,Latrobe City Council,Latrobe,C,Gippsland
Loddon,Loddon Shire Council,Loddon,S,LoddonMallee
MacedonRanges,Macedon Ranges Shire Council,Macedon Ranges,S,Grampians
Manningham,Manningham City Council,Manningham,C,MetroEast
Mansfield,Mansfield Shire Council,Mansfield,S,Hume
Maribyrnong,Maribyrnong City Council,Maribyrnong,C,MetroNW
Maroondah,Maroondah City Council,Maroondah,C,MetroEast
Melbourne,Melbourne City Council,Melbourne,C,MetroNW
Melton,Melton City Council,Melton,S,MetroNW
Mildura,Mildura Rural City Council,Mildura,RC,LoddonMallee
Mitchell,Mitchell Shire Council,Mitchell,S,Hume
Moira,Moira Shire Council,Moira,S,Hume
Monash,Monash City Council,Monash,C,MetroEast
MooneeValley,Moonee Valley City Council,Moonee Valley,C,MetroNW
Moorabool,Moorabool Shire Council,Moorabool,S,Grampians
Moreland,Moreland City Council,Moreland,C,MetroNW
MorningtonPeninsula,Mornington Peninsula Shire Council,Mornington Peninsula,S,MetroSth
MountAlexander,Mount Alexander Shire Council,Mount Alexander,S,LoddonMallee
Moyne,Moyne Shire Council,Moyne,S,Barwon
Murrindindi,Murrindindi Shire Council,Murrindindi,S,Hume
Nillumbik,Nillumbik Shire Council,Nillumbik,S,MetroNW
NorthernGrampians,Northern Grampians Shire Council,Northern Grampians,S,Grampians
PortPhillip,Port Phillip City Council,Port Phillip,C,MetroSth
Pyrenees,Pyrenees Shire Council,Pyrenees,S,Grampians
Queenscliffe,Borough of Queenscliffe,Queenscliffe,B,Barwon
Shepparton,Greater Shepparton City Council,Greater Shepparton,C,Hume
SouthernGrampians,Southern Grampians Shire Council,Southern Grampians,S,Barwon
SouthGippsland,South Gippsland Shire Council,South Gippsland,S,Gippsland
Stonnington,Stonnington City Council,Stonnington,C,MetroSth
Strathbogie,Strathbogie Shire Council,Strathbogie,S,Hume
SurfCoasT,Surf Coast Shire Council,Surf Coast,S,Barwon
SwanHill,Swan Hill Rural City Council,Swan Hill,RC,LoddonMallee
Towong,Towong Shire Council,Towong,S,Hume
Wangaratta,Wangaratta Rural City Council,Wangaratta,RC,Hume
Warrnambool,Warrnambool City Council,Warrnambool,C,Barwon
Wellington,Wellington Shire Council,Wellington,S,Gippsland
WestWimmera,West Wimmera Shire Council,West Wimmera,S,Grampians
Whitehorse,Whitehorse City Council,Whitehorse,C,MetroEast
Whittlesea,Whittlesea City Council,Whittlesea,C,MetroNW
Wodonga,Wodonga City Council,Wodonga,RC,Hume
Wyndham,Wyndham City Council,Wyndham,C,MetroNW
Yarra,Yarra City Council,Yarra,C,MetroNW
YarraRanges,Yarra Ranges Shire Council,Yarra Ranges,S,MetroEast
Yarriambiack,Yarriambiack Shire Council,Yarriambiack,S,Grampians
